State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Karnataka,Raichur,Lingsagur,sub_cen,RODALABANDA,NA,16.231,76.7154,Y,Physical,Rural,Public,1324878667
Karnataka,Bagalkote,Hunagund,sub_cen,BISILADINNI,NA,16.2315,76.0418,Y,Physical,Rural,Public,6244558836
Karnataka,Belgaum,Gokak,sub_cen,HUNASHYAL. P. G,NA,16.2316,74.9085,Y,Physical,Rural,Public,2476748559
Karnataka,Raichur,Devadurga,sub_cen,KYDIGERA,NA,16.2324,76.9551,Y,Physical,Rural,Public,7771775371
Karnataka,Bijapur,Muddebihal,sub_cen,ALUR,NA,16.2327,76.1965,Y,Physical,Rural,Public,NA
Karnataka,Belgaum,Gokak,sub_cen,SANGANAKERI,NA,16.2338,74.8444,Y,Physical,Rural,Public,5671111853
Karnataka,Raichur,Raichur,sub_cen,MURANPUR,NA,16.2339,77.1909,Y,Physical,Rural,Public,3211154277
Karnataka,Raichur,Devadurga,sub_cen,N.GANEKAL,NA,16.2357,77.1185,Y,Physical,Rural,Public,8654855439
Karnataka,Belgaum,Gokak,sub_cen,GHATAPRABHA - B,NA,16.236,74.7619,Y,Physical,Rural,Public,6147832387
Karnataka,Bagalkote,Bagalkot,sub_cen,MUDALAPALAJIVI,NA,16.2362,75.8083,Y,Physical,Rural,Public,6135212451
Karnataka,Belgaum,Hukkeri,sub_cen,MASSARGUPPI,NA,16.2386,74.5587,Y,Physical,Rural,Public,3884646211
Karnataka,Bagalkote,Bilagi,sub_cen,KUNDARAGI,NA,16.239,75.5463,Y,Physical,Rural,Public,5666874275
Karnataka,Yadgir,Surapur,sub_cen,NARAYANAPURA,NA,16.23907,76.39266,Y,Physical,Rural,Public,4836275588
Karnataka,Belgaum,Gokak,sub_cen,YADWAD,NA,16.2392,75.1781,Y,Physical,Rural,Public,5748652830
Karnataka,Raichur,Lingsagur,sub_cen,KOTA,NA,16.2394,76.6387,Y,Physical,Rural,Public,4283444224
Karnataka,Bagalkote,Bilagi,sub_cen,BAVALATTI,NA,16.2408,75.5757,Y,Physical,Rural,Public,4655235119
Karnataka,Raichur,Raichur,sub_cen,CHANDRABANDA,NA,16.2441,77.452,Y,Physical,Rural,Public,6786117785
Karnataka,Belgaum,Gokak,sub_cen,KULIGOD-A,NA,16.2442,75.0423,Y,Physical,Rural,Public,5443642441
Karnataka,Belgaum,Gokak,sub_cen,GIRISAGARA,NA,16.2443,75.1843,Y,Physical,Rural,Public,4386541389
Karnataka,Raichur,Raichur,sub_cen,KATLATUKUR,NA,16.2444,77.416,Y,Physical,Rural,Public,5427463863
Karnataka,Belgaum,Gokak,sub_cen,KULIGOD-B,NA,16.245,75.0469,Y,Physical,Rural,Public,8662547465
Karnataka,Bagalkote,Bilagi,sub_cen,KATARAKI,NA,16.2453,75.4891,Y,Physical,Rural,Public,2738258587
Karnataka,Belgaum,Gokak,sub_cen,GHATAPRABHA - A,NA,16.2458,74.7603,Y,Physical,Rural,Public,4878127416
Karnataka,Raichur,Lingsagur,sub_cen,GONAWATLA,NA,16.2467,76.5095,Y,Physical,Rural,Public,3767336286
Karnataka,Belgaum,Hukkeri,sub_cen,GUDASA,NA,16.2476,74.7029,Y,Physical,Rural,Public,3433254848
Karnataka,Raichur,Lingsagur,sub_cen,D.BHUPUR,NA,16.2491,76.5793,Y,Physical,Rural,Public,1131841619
Karnataka,Belgaum,Hukkeri,sub_cen,KOTABAGI,NA,16.2495,74.6852,Y,Physical,Rural,Public,1758366783
Karnataka,Bagalkote,Bagalkot,sub_cen,BODANAIKADINNI,NA,16.2508,75.8991,Y,Physical,Rural,Public,6538736346
Karnataka,Belgaum,Gokak,sub_cen,VADRATTI,NA,16.2511,74.9212,Y,Physical,Rural,Public,8716714749
Karnataka,Bijapur,Muddebihal,sub_cen,NALATAWADA-B,NA,16.2511,76.2906,Y,Physical,Rural,Public,2344476722
Karnataka,Bijapur,Muddebihal,sub_cen,NALATAWADA-A,NA,16.2512,76.2905,Y,Physical,Rural,Public,8188465622
